Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
fax.advice.schwab,2023-07-19,=EMAIL=,90,0.05,2023-08-02 22:04,2023-07-19 - 2023-07-19
fax.branch.schwab,2023-07-19,=EMAIL=,376,0.20,2023-08-02 22:04,2023-07-19 - 2023-07-19
fax.branch.schwab,2023-07-19,MAILINGLIST,2,0.00,2023-08-02 22:04,2023-07-19 - 2023-07-19
misc.mailouts.schwab,2023-07-19,=EMAIL=,5571865,132371.68,2023-08-02 22:04,2023-07-19 - 2023-07-19
misc.mailouts.schwab,2023-07-19,MAILINGLIST,178611,262.51,2023-08-02 22:04,2023-07-19 - 2023-07-19
rrrpsclepsd.sv.schwab,2023-07-19,=EMAIL=,1,0.00,2023-08-02 22:04,2023-07-19 - 2023-07-19
schwab.dom.repository,2023-07-19,=EMAIL=,7719577,550000.80,2023-08-02 22:04,2023-07-19 - 2023-07-19
sps.external.email.sv.schwab,2023-07-19,=EMAIL=,1,0.00,2023-08-02 22:04,2023-07-19 - 2023-07-19
fax.advice.schwab,2023-07-18,=EMAIL=,66,0.03,2023-08-02 22:05,2023-07-18 - 2023-07-18
fax.advice.schwab,2023-07-18,MAILINGLIST,5,0.00,2023-08-02 22:05,2023-07-18 - 2023-07-18
fax.branch.schwab,2023-07-18,=EMAIL=,293,0.16,2023-08-02 22:05,2023-07-18 - 2023-07-18
fax.branch.schwab,2023-07-18,MAILINGLIST,33,0.01,2023-08-02 22:05,2023-07-18 - 2023-07-18
misc.mailouts.schwab,2023-07-18,=EMAIL=,2061889,139201.65,2023-08-02 22:05,2023-07-18 - 2023-07-18
misc.mailouts.schwab,2023-07-18,MAILINGLIST,772665,1130.98,2023-08-02 22:05,2023-07-18 - 2023-07-18
schwab.dom.repository,2023-07-18,=EMAIL=,3154297,177818.67,2023-08-02 22:05,2023-07-18 - 2023-07-18
carlsbad.branch.h.sv.schwab,2023-07-17,MAILINGLIST,1,0.00,2023-08-02 22:06,2023-07-17 - 2023-07-17
fax.advice.schwab,2023-07-17,=EMAIL=,32,0.02,2023-08-02 22:06,2023-07-17 - 2023-07-17
fax.advice.schwab,2023-07-17,MAILINGLIST,26,0.01,2023-08-02 22:06,2023-07-17 - 2023-07-17
fax.branch.schwab,2023-07-17,=EMAIL=,141,0.07,2023-08-02 22:06,2023-07-17 - 2023-07-17
fax.branch.schwab,2023-07-17,MAILINGLIST,139,0.06,2023-08-02 22:06,2023-07-17 - 2023-07-17
misc.mailouts.schwab,2023-07-17,=EMAIL=,1109836,67709.11,2023-08-02 22:06,2023-07-17 - 2023-07-17
misc.mailouts.schwab,2023-07-17,MAILINGLIST,2785693,4055.67,2023-08-02 22:06,2023-07-17 - 2023-07-17
schwab.dom.repository,2023-07-17,=EMAIL=,298361,11657.75,2023-08-02 22:06,2023-07-17 - 2023-07-17
carlsbad.branch.h.sv.schwab,2023-07-11,=EMAIL=,2,0.00,2023-08-02 22:07,2023-07-11 - 2023-07-11
fax.advice.schwab,2023-07-11,=EMAIL=,6,0.00,2023-08-02 22:07,2023-07-11 - 2023-07-11
fax.advice.schwab,2023-07-11,MAILINGLIST,18,0.01,2023-08-02 22:07,2023-07-11 - 2023-07-11
fax.branch.schwab,2023-07-11,=EMAIL=,25,0.01,2023-08-02 22:07,2023-07-11 - 2023-07-11
fax.branch.schwab,2023-07-11,MAILINGLIST,104,0.05,2023-08-02 22:07,2023-07-11 - 2023-07-11
misc.mailouts.schwab,2023-07-11,=EMAIL=,603676,65675.40,2023-08-02 22:07,2023-07-11 - 2023-07-11
misc.mailouts.schwab,2023-07-11,MAILINGLIST,2297929,3314.24,2023-08-02 22:07,2023-07-11 - 2023-07-11
rrrpsclepsd.sv.schwab,2023-07-11,MAILINGLIST,1,0.00,2023-08-02 22:07,2023-07-11 - 2023-07-11
schwab.dom.repository,2023-07-11,=EMAIL=,6571,199.25,2023-08-02 22:07,2023-07-11 - 2023-07-11
carlsbad.branch.h.sv.schwab,2023-07-11,=EMAIL=,2,0.00,2023-08-02 22:08,2023-07-11 - 2023-07-11
fax.advice.schwab,2023-07-11,=EMAIL=,6,0.00,2023-08-02 22:08,2023-07-11 - 2023-07-11
fax.advice.schwab,2023-07-11,MAILINGLIST,18,0.01,2023-08-02 22:08,2023-07-11 - 2023-07-11
fax.branch.schwab,2023-07-11,=EMAIL=,25,0.01,2023-08-02 22:08,2023-07-11 - 2023-07-11
fax.branch.schwab,2023-07-11,MAILINGLIST,104,0.05,2023-08-02 22:08,2023-07-11 - 2023-07-11
misc.mailouts.schwab,2023-07-11,=EMAIL=,603676,65675.40,2023-08-02 22:08,2023-07-11 - 2023-07-11
misc.mailouts.schwab,2023-07-11,MAILINGLIST,2297929,3314.24,2023-08-02 22:08,2023-07-11 - 2023-07-11
rrrpsclepsd.sv.schwab,2023-07-11,MAILINGLIST,1,0.00,2023-08-02 22:08,2023-07-11 - 2023-07-11
schwab.dom.repository,2023-07-11,=EMAIL=,6571,199.25,2023-08-02 22:08,2023-07-11 - 2023-07-11
carlsbad.branch.h.sv.schwab,2023-07-06,=EMAIL=,1,0.00,2023-08-02 22:09,2023-07-06 - 2023-07-06
fax.advice.schwab,2023-07-06,=EMAIL=,108,0.06,2023-08-02 22:09,2023-07-06 - 2023-07-06
fax.advice.schwab,2023-07-06,MAILINGLIST,9,0.00,2023-08-02 22:09,2023-07-06 - 2023-07-06
fax.branch.schwab,2023-07-06,=EMAIL=,468,0.24,2023-08-02 22:09,2023-07-06 - 2023-07-06
fax.branch.schwab,2023-07-06,MAILINGLIST,68,0.03,2023-08-02 22:09,2023-07-06 - 2023-07-06
misc.mailouts.schwab,2023-07-06,=EMAIL=,4533459,199982.52,2023-08-02 22:09,2023-07-06 - 2023-07-06
misc.mailouts.schwab,2023-07-06,MAILINGLIST,1361559,1972.58,2023-08-02 22:09,2023-07-06 - 2023-07-06
schwab.dom.repository,2023-07-06,=EMAIL=,2040840,82804.49,2023-08-02 22:09,2023-07-06 - 2023-07-06
fax.advice.schwab,2023-07-05,=EMAIL=,42,0.02,2023-08-02 22:10,2023-07-05 - 2023-07-05
fax.advice.schwab,2023-07-05,MAILINGLIST,2,0.00,2023-08-02 22:10,2023-07-05 - 2023-07-05
fax.branch.schwab,2023-07-05,=EMAIL=,776,0.37,2023-08-02 22:10,2023-07-05 - 2023-07-05
fax.branch.schwab,2023-07-05,MAILINGLIST,4,0.00,2023-08-02 22:10,2023-07-05 - 2023-07-05
misc.mailouts.schwab,2023-07-05,=EMAIL=,862439,51633.15,2023-08-02 22:10,2023-07-05 - 2023-07-05
misc.mailouts.schwab,2023-07-05,MAILINGLIST,126855,183.81,2023-08-02 22:10,2023-07-05 - 2023-07-05
schwab.catchall.repository,2023-07-05,=EMAIL=,16,0.73,2023-08-02 22:10,2023-07-05 - 2023-07-05
schwab.dom.repository,2023-07-05,=EMAIL=,1859372,76386.28,2023-08-02 22:10,2023-07-05 - 2023-07-05
fax.advice.schwab,2023-07-04,=EMAIL=,24,0.01,2023-08-02 22:11,2023-07-04 - 2023-07-04
fax.advice.schwab,2023-07-04,MAILINGLIST,8,0.00,2023-08-02 22:11,2023-07-04 - 2023-07-04
fax.branch.schwab,2023-07-04,=EMAIL=,90,0.05,2023-08-02 22:11,2023-07-04 - 2023-07-04
fax.branch.schwab,2023-07-04,MAILINGLIST,43,0.02,2023-08-02 22:11,2023-07-04 - 2023-07-04
misc.mailouts.schwab,2023-07-04,=EMAIL=,758098,54540.04,2023-08-02 22:11,2023-07-04 - 2023-07-04
misc.mailouts.schwab,2023-07-04,MAILINGLIST,670779,975.51,2023-08-02 22:11,2023-07-04 - 2023-07-04
schwab.dom.repository,2023-07-04,=EMAIL=,47671,1550.65,2023-08-02 22:11,2023-07-04 - 2023-07-04
carlsbad.branch.h.sv.schwab,2023-07-03,MAILINGLIST,1,0.00,2023-08-02 22:12,2023-07-03 - 2023-07-03
fax.advice.schwab,2023-07-03,=EMAIL=,28,0.01,2023-08-02 22:12,2023-07-03 - 2023-07-03
fax.advice.schwab,2023-07-03,MAILINGLIST,33,0.01,2023-08-02 22:12,2023-07-03 - 2023-07-03
fax.branch.schwab,2023-07-03,=EMAIL=,112,0.06,2023-08-02 22:12,2023-07-03 - 2023-07-03
fax.branch.schwab,2023-07-03,MAILINGLIST,132,0.06,2023-08-02 22:12,2023-07-03 - 2023-07-03
misc.mailouts.schwab,2023-07-03,=EMAIL=,735868,43674.39,2023-08-02 22:12,2023-07-03 - 2023-07-03
misc.mailouts.schwab,2023-07-03,MAILINGLIST,3837058,5617.83,2023-08-02 22:12,2023-07-03 - 2023-07-03
schwab.dom.repository,2023-07-03,=EMAIL=,303452,11977.75,2023-08-02 22:12,2023-07-03 - 2023-07-03
carlsbad.branch.h.sv.schwab,2023-07-02,MAILINGLIST,1,0.00,2023-08-02 22:13,2023-07-02 - 2023-07-02
fax.advice.schwab,2023-07-02,MAILINGLIST,17,0.01,2023-08-02 22:13,2023-07-02 - 2023-07-02
fax.branch.schwab,2023-07-02,=EMAIL=,4,0.00,2023-08-02 22:13,2023-07-02 - 2023-07-02
fax.branch.schwab,2023-07-02,MAILINGLIST,92,0.04,2023-08-02 22:13,2023-07-02 - 2023-07-02
misc.mailouts.schwab,2023-07-02,=EMAIL=,123503,5731.67,2023-08-02 22:13,2023-07-02 - 2023-07-02
misc.mailouts.schwab,2023-07-02,MAILINGLIST,1989160,2901.60,2023-08-02 22:13,2023-07-02 - 2023-07-02
schwab.dom.repository,2023-07-02,=EMAIL=,21243,750.29,2023-08-02 22:13,2023-07-02 - 2023-07-02
carlsbad.branch.h.sv.schwab,2023-07-01,=EMAIL=,3,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
carlsbad.branch.h.sv.schwab,2023-07-01,MAILINGLIST,1,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.advice.schwab,2023-07-01,=EMAIL=,176,0.09,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.advice.schwab,2023-07-01,MAILINGLIST,11,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.branch.schwab,2023-07-01,=EMAIL=,580,0.30,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.branch.schwab,2023-07-01,MAILINGLIST,126,0.06,2023-08-02 22:14,2023-07-01 - 2023-07-01
misc.mailouts.schwab,2023-07-01,=EMAIL=,21619735,90780.10,2023-08-02 22:14,2023-07-01 - 2023-07-01
misc.mailouts.schwab,2023-07-01,MAILINGLIST,3803014,5518.58,2023-08-02 22:14,2023-07-01 - 2023-07-01
rrrpsclepsd.sv.schwab,2023-07-01,=EMAIL=,2,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
schwab.dom.repository,2023-07-01,=EMAIL=,32251,1494.67,2023-08-02 22:14,2023-07-01 - 2023-07-01
sps.external.email.sv.schwab,2023-07-01,=EMAIL=,2,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
carlsbad.branch.h.sv.schwab,2023-06-30,=EMAIL=,3,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.h.sv.schwab,2023-06-30,MAILINGLIST,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.sv.schwab,2023-06-30,=EMAIL=,189,0.09,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.advice.schwab,2023-06-30,=EMAIL=,110,0.06,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.advice.schwab,2023-06-30,MAILINGLIST,26,0.01,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.branch.schwab,2023-06-30,=EMAIL=,567,0.28,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.branch.schwab,2023-06-30,MAILINGLIST,172,0.08,2023-08-02 22:15,2023-06-30 - 2023-06-30
misc.mailouts.schwab,2023-06-30,=EMAIL=,7198720,114588.55,2023-08-02 22:15,2023-06-30 - 2023-06-30
